timestamp,project_id,resource_type,resource_id,zone,metric_name,metric_value,metric_unit,cpu_usage_percent,memory_usage_bytes,memory_limit_bytes,network_ingress_bytes,network_egress_bytes,restart_count,label_app,label_env,label_version,_anomaly
2026-03-27T08:00:00+00:00,custom-sim,gke_container,container-6166,europe-west1-b,container/cpu/usage_time,13.9,%,78.62,467174920,1024000000,9620,39056,0,custom,staging,0.1,
2026-03-27T08:00:00+00:00,custom-sim,gke_container,container-7922,europe-west1-b,container/cpu/usage_time,20.0,%,20.0,,,,,,,,,A3_GCP_CPU
2026-03-27T08:01:00+00:00,custom-sim,gke_container,container-8147,europe-west1-b,container/cpu/usage_time,27.93,%,36.88,212086217,1024000000,59426,36871,0,custom,staging,0.1,
2026-03-27T08:02:00+00:00,custom-sim,gke_container,container-1248,europe-west1-b,container/cpu/usage_time,19.27,%,68.53,298629937,1024000000,5450,95998,0,custom,staging,0.1,
2026-03-27T08:03:00+00:00,custom-sim,gke_container,container-1180,europe-west1-b,container/cpu/usage_time,29.05,%,31.15,403612343,1024000000,75807,33738,0,custom,staging,0.1,
2026-03-27T08:04:00+00:00,custom-sim,gke_container,container-9712,europe-west1-b,container/cpu/usage_time,24.78,%,40.66,269358922,1024000000,26743,67285,0,custom,staging,0.1,
2026-03-27T08:05:00+00:00,custom-sim,gke_container,container-9577,europe-west1-b,container/cpu/usage_time,22.82,%,32.96,751210879,1024000000,40169,56037,0,custom,staging,0.1,
2026-03-27T08:06:00+00:00,custom-sim,gke_container,container-9600,europe-west1-b,container/cpu/usage_time,28.65,%,70.33,367529914,1024000000,8883,29187,0,custom,staging,0.1,
2026-03-27T08:07:00+00:00,custom-sim,gke_container,container-8946,europe-west1-b,container/cpu/usage_time,22.51,%,41.72,605373847,1024000000,24191,36873,0,custom,staging,0.1,
2026-03-27T08:08:00+00:00,custom-sim,gke_container,container-7103,europe-west1-b,container/cpu/usage_time,22.82,%,30.97,382580235,1024000000,23491,31218,0,custom,staging,0.1,
2026-03-27T08:09:00+00:00,custom-sim,gke_container,container-2696,europe-west1-b,container/cpu/usage_time,16.01,%,7.3,732982220,1024000000,22625,77683,0,custom,staging,0.1,
2026-03-27T08:10:00+00:00,custom-sim,gke_container,container-3961,europe-west1-b,container/cpu/usage_time,19.02,%,36.51,796442653,1024000000,90310,21296,0,custom,staging,0.1,
2026-03-27T08:10:00+00:00,custom-sim,gke_container,container-9670,europe-west1-b,container/cpu/usage_time,28.22,%,28.22,,,,,,,,,A3_GCP_CPU
2026-03-27T08:11:00+00:00,custom-sim,gke_container,container-9600,europe-west1-b,container/cpu/usage_time,13.62,%,16.32,309638493,1024000000,6732,77522,0,custom,staging,0.1,
2026-03-27T08:12:00+00:00,custom-sim,gke_container,container-8155,europe-west1-b,container/cpu/usage_time,13.55,%,49.68,188095547,1024000000,76231,43353,0,custom,staging,0.1,
2026-03-27T08:13:00+00:00,custom-sim,gke_container,container-5772,europe-west1-b,container/cpu/usage_time,25.01,%,41.9,515763175,1024000000,11947,57867,0,custom,staging,0.1,
2026-03-27T08:14:00+00:00,custom-sim,gke_container,container-8358,europe-west1-b,container/cpu/usage_time,29.57,%,74.21,721206999,1024000000,15376,64315,0,custom,staging,0.1,
2026-03-27T08:15:00+00:00,custom-sim,gke_container,container-1351,europe-west1-b,container/cpu/usage_time,29.01,%,1.44,125879253,1024000000,8198,78252,0,custom,staging,0.1,
2026-03-27T08:16:00+00:00,custom-sim,gke_container,container-6632,europe-west1-b,container/cpu/usage_time,15.74,%,75.36,438703905,1024000000,42279,67054,0,custom,staging,0.1,
2026-03-27T08:17:00+00:00,custom-sim,gke_container,container-2853,europe-west1-b,container/cpu/usage_time,24.2,%,24.79,799675061,1024000000,98983,58593,0,custom,staging,0.1,
2026-03-27T08:18:00+00:00,custom-sim,gke_container,container-8982,europe-west1-b,container/cpu/usage_time,20.05,%,57.18,487358633,1024000000,23166,37026,0,custom,staging,0.1,
2026-03-27T08:19:00+00:00,custom-sim,gke_container,container-9667,europe-west1-b,container/cpu/usage_time,28.62,%,10.89,365594317,1024000000,8281,52952,0,custom,staging,0.1,
2026-03-27T08:20:00+00:00,custom-sim,gke_container,container-2146,europe-west1-b,container/cpu/usage_time,17.49,%,49.68,491022074,1024000000,70576,25965,0,custom,staging,0.1,
2026-03-27T08:20:00+00:00,custom-sim,gke_container,container-3016,europe-west1-b,container/cpu/usage_time,36.44,%,36.44,,,,,,,,,A3_GCP_CPU
2026-03-27T08:21:00+00:00,custom-sim,gke_container,container-8069,europe-west1-b,container/cpu/usage_time,28.1,%,68.46,727221675,1024000000,73200,33287,0,custom,staging,0.1,
2026-03-27T08:22:00+00:00,custom-sim,gke_container,container-2688,europe-west1-b,container/cpu/usage_time,25.14,%,69.09,455376650,1024000000,55152,53215,0,custom,staging,0.1,
2026-03-27T08:23:00+00:00,custom-sim,gke_container,container-7632,europe-west1-b,container/cpu/usage_time,21.55,%,12.79,353043142,1024000000,29504,7474,0,custom,staging,0.1,
2026-03-27T08:24:00+00:00,custom-sim,gke_container,container-3310,europe-west1-b,container/cpu/usage_time,17.76,%,57.89,717583676,1024000000,66085,88282,0,custom,staging,0.1,
2026-03-27T08:25:00+00:00,custom-sim,gke_container,container-4034,europe-west1-b,container/cpu/usage_time,13.17,%,21.23,260166196,1024000000,32727,24750,0,custom,staging,0.1,
2026-03-27T08:26:00+00:00,custom-sim,gke_container,container-7447,europe-west1-b,container/cpu/usage_time,21.74,%,78.09,574892204,1024000000,40126,9090,0,custom,staging,0.1,
2026-03-27T08:27:00+00:00,custom-sim,gke_container,container-5688,europe-west1-b,container/cpu/usage_time,29.61,%,21.51,291283762,1024000000,91263,63906,0,custom,staging,0.1,
2026-03-27T08:28:00+00:00,custom-sim,gke_container,container-2973,europe-west1-b,container/cpu/usage_time,21.09,%,44.48,210236685,1024000000,3703,9114,0,custom,staging,0.1,
2026-03-27T08:29:00+00:00,custom-sim,gke_container,container-5017,europe-west1-b,container/cpu/usage_time,26.28,%,62.58,321116510,1024000000,87577,2660,0,custom,staging,0.1,
2026-03-27T08:30:00+00:00,custom-sim,gke_container,container-4576,europe-west1-b,container/cpu/usage_time,26.08,%,87.06,526053910,1024000000,23938,90838,0,custom,staging,0.1,
2026-03-27T08:30:00+00:00,custom-sim,gke_container,container-8575,europe-west1-b,container/cpu/usage_time,44.67,%,44.67,,,,,,,,,A3_GCP_CPU
2026-03-27T08:31:00+00:00,custom-sim,gke_container,container-4221,europe-west1-b,container/cpu/usage_time,25.18,%,87.57,189534041,1024000000,72406,61912,0,custom,staging,0.1,
2026-03-27T08:32:00+00:00,custom-sim,gke_container,container-5064,europe-west1-b,container/cpu/usage_time,11.84,%,17.69,354556688,1024000000,59976,98381,0,custom,staging,0.1,
2026-03-27T08:33:00+00:00,custom-sim,gke_container,container-3764,europe-west1-b,container/cpu/usage_time,21.99,%,25.81,384652110,1024000000,6997,95268,0,custom,staging,0.1,
2026-03-27T08:34:00+00:00,custom-sim,gke_container,container-5528,europe-west1-b,container/cpu/usage_time,15.14,%,78.87,433157522,1024000000,91920,2973,0,custom,staging,0.1,
