timestamp,metric_name,metric_type,metric_value,service_name,pod_name,container_id,label_area,label_env,help_text,_anomaly
2026-03-28T08:00:00+00:00,jvm_memory_used_bytes,gauge,299999279,terminal-handler-sim,terminal-handler-pod-0,container-main,payments,staging,,
2026-03-28T08:00:00+00:00,jvm_gc_pause_seconds_sum,gauge,0.10904191872950725,terminal-handler-sim,terminal-handler-pod-0,container-main,payments,staging,,
2026-03-28T08:00:00+00:00,process_cpu_usage,gauge,0.2041359880858764,terminal-handler-sim,terminal-handler-pod-0,container-main,payments,staging,,
2026-03-28T08:00:00+00:00,jvm_memory_used_bytes,gauge,300000000,terminal-handler-sim,terminal-handler-pod-0,container-main,payments,staging,,A3_LEAK
2026-03-28T08:00:00+00:00,jvm_gc_pause_seconds_sum,gauge,0.45,terminal-handler-sim,terminal-handler-pod-0,container-main,payments,staging,,A3_GC
2026-03-28T08:00:00+00:00,process_cpu_usage,gauge,0.2,terminal-handler-sim,terminal-handler-pod-0,container-main,payments,staging,,A3_CPU
2026-03-28T08:01:00+00:00,jvm_memory_used_bytes,gauge,300000900,terminal-handler-sim,terminal-handler-pod-0,container-main,payments,staging,,
2026-03-28T08:01:00+00:00,jvm_gc_pause_seconds_sum,gauge,0.09389110927309048,terminal-handler-sim,terminal-handler-pod-0,container-main,payments,staging,,
2026-03-28T08:01:00+00:00,process_cpu_usage,gauge,0.20999776179400328,terminal-handler-sim,terminal-handler-pod-0,container-main,payments,staging,,
2026-03-28T08:02:00+00:00,jvm_memory_used_bytes,gauge,300000447,terminal-handler-sim,terminal-handler-pod-0,container-main,payments,staging,,
2026-03-28T08:02:00+00:00,jvm_gc_pause_seconds_sum,gauge,0.09305388862681355,terminal-handler-sim,terminal-handler-pod-0,container-main,payments,staging,,
2026-03-28T08:02:00+00:00,process_cpu_usage,gauge,0.19757711724552404,terminal-handler-sim,terminal-handler-pod-0,container-main,payments,staging,,
2026-03-28T08:03:00+00:00,jvm_memory_used_bytes,gauge,300000843,terminal-handler-sim,terminal-handler-pod-0,container-main,payments,staging,,
